from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246064724606642+1057066+1,246064724606642+1056665+1,1,
33,33,,,246069724606992+1057066+1,246069724607062+1056665+1,1,
33,33,,,246073124608113+1057066+1,246073124608113+1056665+1,1,
33,33,,,246072524607274+1057073+1,246072524607274+1056670+1,1,
33,33,,,246067224606725+1057076+1,246067224606725+1056673+1,1,
33,33,,,246071024607204+1057087+1,246070324607204+1056694+1,1,
33,33,,,246073124608112+1057087+1,246073124608112+1056694+1,1,
33,33,,,246066824606711+1057089+1,246066824606711+1056696+1,1,
33,33,,,246066824606714+1057089+1,246066824606714+1056696+1,1,
33,33,,,246072524607274+1057102+1,246072524607274+1056706+1,1,
33,33,,,246073124608111+1057102+1,246073124608111+1056706+1,1,
33,33,,,246073124608114+1057102+1,246073124608114+1056706+1,1,
33,33,,,246065124606655+1057103+1,246065124606655+1056707+1,1,
33,33,,,246070324607031+1057109+1,246070324607031+1056709+1,1,
33,33,,,246068224606922+1057115+0,246068224606922+1054110+0,1,
33,33,,,246072524607273+1057115+0,246072524607273+1054110+0,1,
33,33,,,246072524607274+1057115+0,246072524607274+1054110+0,1,
33,33,,,246073124608111+1057115+0,246073124608111+1054110+0,1,
33,33,,,246067224606725+1057118+0,246067224606725+1054113+0,1,
33,33,,,246064724606641+1057123+0,246064724606641+1056723+0,1,
33,33,,,246064724606642+1057123+0,246064724606642+1056723+0,1,
33,33,,,246067824606784+1057123+0,246067824606784+1056723+0,1,
