shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,26.22693,-80.14466,119
2,26.20802,-80.14881,120
2,26.20204,-80.1502,121
2,26.20135,-80.15034,122
2,26.20045,-80.15051,123
2,26.19102,-80.15257,124
2,26.18465,-80.15394,125
2,26.18155,-80.15499,126
2,26.16095,-80.16409,127
2,26.14918,-80.16931,128
2,26.14635,-80.17019,129
2,26.14356,-80.17029,130
2,26.13846,-80.17018,131
2,26.13617,-80.17015,132
2,26.13219,-80.17006,133
2,26.13037,-80.16999,134
2,26.12487,-80.16985,135
2,26.12081,-80.16978,136
2,26.11998,-80.16977,137
2,26.11804,-80.16975,138
2,26.11114,-80.1696,139
2,26.10928,-80.16954,140
2,26.1074,-80.16945,141
2,26.10548,-80.16944,142
2,26.09901,-80.1693,143
2,26.09524,-80.16924,144
2,26.09134,-80.16914,145
2,26.08913,-80.16913,146
2,26.08687,-80.16932,147
2,26.08463,-80.16989,148
2,26.08238,-80.17035,149
2,26.08006,-80.1702,150
2,26.07559,-80.16913,151
2,26.07368,-80.16858,152
2,26.06956,-80.16658,153
2,26.06832,-80.1662,154
2,26.06592,-80.16553,155
2,26.06466,-80.16538,156
2,26.06338,-80.16543,157
2,26.062,-80.16562,158
2,26.06165,-80.16568,159
2,26.061,-80.16577,160
2,26.05834,-80.16612,161
2,26.05119,-80.1671,162
2,26.04885,-80.16747,163
2,26.04491,-80.16802,164
2,26.04323,-80.16823,165
2,26.04162,-80.16828,166
2,26.0328,-80.1681,167
2,26.02169,-80.16787,168
2,26.0196,-80.1678,169
2,26.01322,-80.16765,170
2,26.01241,-80.16765,171
2,26.00878,-80.16758,172
2,26.0033,-80.1675,173
2,25.98688,-80.16695,174
2,25.97983,-80.16669,175
2,25.97676,-80.1666,176
2,25.96838,-80.16629,177
2,25.96586,-80.16625,178
2,25.96463,-80.16647,179
2,25.96347,-80.16687,180
2,25.96232,-80.16754,181
2,25.96141,-80.16828,182
2,25.95976,-80.17029,183
2,25.95605,-80.17538,184
2,25.95411,-80.17802,185
2,25.95198,-80.18058,186
2,25.93884,-80.19623,187
2,25.93464,-80.20126,188
2,25.93081,-80.20579,189
2,25.92907,-80.20789,190
2,25.92595,-80.21157,191
2,25.92256,-80.21564,192
2,25.92148,-80.21697,193
2,25.91443,-80.22532,194
2,25.9114,-80.2297,195
2,25.89828,-80.25618,196
2,25.89721,-80.25778,197
2,25.89584,-80.25908,198
2,25.89423,-80.25999,199
2,25.8925,-80.26047,200
2,25.89075,-80.26054,201
2,25.88376,-80.26042,202
2,25.85757,-80.25993,203
2,25.85516,-80.25986,204
2,25.85103,-80.25971,205
2,25.84723,-80.25962,206
2,25.84676,-80.2596,207
2,25.84569,-80.25959,208
2,25.84489,-80.25956,209
2,25.84367,-80.25955,210
2,25.83469,-80.25932,211
2,25.82363,-80.25901,212
2,25.82172,-80.25895,213
2,25.82004,-80.25888,214
2,25.81855,-80.25884,215
2,25.81586,-80.25882,216
2,25.81167,-80.2587,217
2,25.81008,-80.25868,218
2,25.80905,-80.25863,219
2,25.80593,-80.25855,220
2,25.80173,-80.25847,221
2,25.7999,-80.2584,222
2,25.7986,-80.25833,223
2,25.79593,-80.25825,224
