from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,245979624597975+241878+0,245979624597975+241691+0,1,
124,124,,,245979624597975+242011+0,245979624597975+241691+0,1,
124,124,,,245979624597975+241884+0,245979624597975+241697+0,1,
124,124,,,245979624597975+242013+0,245979624597975+241697+0,1,
124,124,,,245979624597975+241888+0,245979624597975+241698+0,1,
124,124,,,245979624597975+241890+0,245979624597975+241699+0,1,
124,124,,,245979624597975+242016+0,245979624597975+241699+0,1,
124,124,,,245979624597975+241894+0,245979624597975+241701+0,1,
124,124,,,245979624597975+242019+0,245979624597975+241702+0,1,
124,124,,,245979724597975+241899+0,245979624597975+241702+0,1,
124,124,,,245979624597975+241905+0,245979624597975+241703+0,1,
124,124,,,245979624597975+241916+0,245979624597975+241716+0,1,
124,124,,,245979624597975+242024+0,245979624597975+241716+0,1,
124,124,,,245979624597975+241919+0,245979624597975+241717+0,1,
124,124,,,245979624597975+241921+0,245979624597975+241718+0,1,
124,124,,,245979624597975+242026+0,245979624597975+241718+0,1,
124,124,,,245979724597975+241926+0,245979624597975+241720+0,1,
124,124,,,245979624597975+242030+0,245979624597975+241724+0,1,
124,124,,,245979724597975+241932+0,245979624597975+241724+0,1,
124,124,,,245979624597975+241938+0,245979624597975+241725+0,1,
124,124,,,245979624597975+241942+0,245979624597975+241730+0,1,
124,124,,,245979724597975+241950+0,245979624597975+241733+0,1,
124,124,,,245979724597975+242318+0,245979624597975+241733+0,1,
124,124,,,245979624597975+241953+0,245979624597975+241734+0,1,
124,124,,,245979624597975+241957+0,245979624597975+241737+0,1,
124,124,,,245979624597975+241966+0,245979624597975+241745+0,1,
124,124,,,245979624597975+242040+0,245979624597975+241745+0,1,
124,124,,,245979624597975+241985+0,245979624597975+241777+0,1,
124,124,,,245979624597975+242050+0,245979624597975+241777+0,1,
124,124,,,245979624597974+241989+0,245979624597975+241783+0,1,
124,124,,,245979624597975+242063+1,245979624597975+241802+1,1,
124,124,,,245979624597975+242013+0,245979624597975+241805+0,1,
124,124,,,245979624597975+242053+0,245979624597975+241816+0,1,
131,131,,,245979624597975+242093+0,245979624597975+241816+0,1,
140,140,,,245979624597975+242127+0,245979624597975+241816+0,1,
124,124,,,245979624597975+241633+0,245979624597975+241818+0,1,
124,124,,,245979624597975+241636+0,245979624597975+241819+0,1,
124,124,,,245979624597975+241786+0,245979624597975+241822+0,1,
124,124,,,245979624597975+241641+0,245979624597975+241823+1,1,
124,124,,,245979624597975+241644+1,245979624597975+241827+1,1,
140,140,,,245979624597975+242097+1,245979624597975+241832+1,1,
124,124,,,245979624597975+241647+1,245979624597975+241833+1,1,
124,124,,,245979624597975+241650+1,245979624597975+241837+1,1,
124,124,,,245979624597975+241652+1,245979624597975+241838+0,1,
124,124,,,245979624597975+241658+0,245979624597975+241841+0,1,
124,124,,,245979624597975+241660+0,245979624597975+241843+0,1,
124,124,,,245979624597975+241663+0,245979624597975+241844+0,1,
124,124,,,245979624597975+241665+0,245979624597975+241847+0,1,
140,140,,,245979624597975+242101+1,245979624597975+241848+1,1,
124,124,,,245979624597975+241668+0,245979624597975+241849+0,1,
124,124,,,245979624597975+241671+0,245979624597975+241851+0,1,
124,124,,,245979624597975+241673+0,245979624597975+241854+0,1,
124,124,,,245979624597975+241679+0,245979624597975+241862+0,1,
140,140,,,245979624597975+242104+1,245979624597975+241864+1,1,
124,124,,,245979624597975+241683+0,245979624597975+241865+0,1,
124,124,,,245979624597975+241689+0,245979624597975+241876+0,1,
124,124,,,245979624597975+242011+0,245979624597975+241878+0,1,
124,124,,,245979624597975+241693+0,245979624597975+241880+1,1,
131,131,,,245979624597975+241803+1,245979624597975+241882+1,1,
131,131,,,245979624597975+242069+0,245979624597975+241888+0,1,
140,140,,,245979624597975+242108+0,245979624597975+241888+0,1,
124,124,,,245979624597975+242016+0,245979624597975+241890+0,1,
140,140,,,245979624597975+242111+0,245979624597975+241905+0,1,
131,131,,,245979624597975+242074+0,245979624597975+241913+0,1,
124,124,,,245979624597975+242024+0,245979624597975+241916+0,1,
140,140,,,245979624597975+242113+0,245979624597975+241919+0,1,
124,124,,,245979624597975+242026+0,245979624597975+241921+0,1,
131,131,,,245979624597975+242076+0,245979624597975+241921+0,1,
124,124,,,245979624597975+241709+1,245979624597975+241923+1,1,
140,140,,,245979624597975+242115+0,245979624597975+241938+0,1,
124,124,,,245979624597975+241721+1,245979624597975+241940+1,1,
131,131,,,245979624597975+242081+0,245979624597975+241942+0,1,
131,131,,,245979624597975+242083+0,245979624597975+241953+0,1,
124,124,,,245979624597975+241735+1,245979624597975+241955+0,1,
124,124,,,245979624597975+241738+0,245979624597975+241959+0,1,
124,124,,,245979624597975+241743+0,245979624597975+241964+0,1,
124,124,,,245979624597975+242040+0,245979624597975+241966+0,1,
124,124,,,245979624597975+241746+0,245979624597975+241968+0,1,
124,124,,,245979724597975+241752+0,245979624597975+241969+0,1,
124,124,,,245979624597975+242047+0,245979624597975+241982+0,1,
140,140,,,245979624597975+242125+0,245979624597975+241982+0,1,
124,124,,,245979624597975+242050+0,245979624597975+241985+0,1,
131,131,,,245979624597975+242091+0,245979624597975+241985+0,1,
124,124,,,245979624597974+241778+0,245979624597975+241987+0,1,
124,124,,,245979624597975+241652+1,245979624597975+241999+0,1,
124,124,,,245979624597975+241838+0,245979624597975+241999+0,1,
124,124,,,245979624597975+241658+0,245979624597975+242000+0,1,
124,124,,,245979624597975+241841+0,245979624597975+242000+0,1,
124,124,,,245979624597975+241663+0,245979624597975+242001+0,1,
124,124,,,245979624597975+241844+0,245979624597975+242001+0,1,
124,124,,,245979624597975+241668+0,245979624597975+242003+0,1,
124,124,,,245979624597975+241849+0,245979624597975+242003+0,1,
124,124,,,245979624597975+241673+0,245979624597975+242004+0,1,
124,124,,,245979624597975+241854+0,245979624597975+242004+0,1,
124,124,,,245979624597975+241679+0,245979624597975+242006+0,1,
124,124,,,245979624597975+241862+0,245979624597975+242006+0,1,
124,124,,,245979624597975+241685+0,245979624597975+242008+0,1,
124,124,,,245979724597975+241870+0,245979624597975+242008+0,1,
124,124,,,245979624597975+241709+1,245979624597975+242028+1,1,
124,124,,,245979624597975+241735+1,245979624597975+242038+0,1,
124,124,,,245979624597975+241955+0,245979624597975+242038+0,1,
124,124,,,245979624597975+241743+0,245979624597975+242039+0,1,
124,124,,,245979624597975+241964+0,245979624597975+242039+0,1,
124,124,,,245979624597975+241969+0,245979624597975+242042+0,1,
124,124,,,245979724597975+241752+0,245979624597975+242042+0,1,
124,124,,,245979624597964+241768+0,245979624597975+242046+0,1,
124,124,,,245979624597964+241977+0,245979624597975+242046+0,1,
124,124,,,245979624597974+241778+0,245979624597975+242052+0,1,
124,124,,,245979624597975+241987+0,245979624597975+242052+0,1,
131,131,,,245979624597975+241823+1,245979624597975+242055+0,1,
131,131,,,245979624597975+241833+1,245979624597975+242057+0,1,
131,131,,,245979724597975+241793+0,245979624597975+242058+0,1,
131,131,,,245979624597975+241844+0,245979624597975+242060+0,1,
131,131,,,245979624597975+241854+0,245979624597975+242061+0,1,
124,124,,,245979624597975+241685+0,245979624597975+242065+0,1,
131,131,,,245979724597975+241870+0,245979624597975+242065+0,1,
131,131,,,245979624597975+241803+1,245979624597975+242067+0,1,
131,131,,,245979624597975+241882+1,245979624597975+242067+0,1,
131,131,,,245979624597975+241940+1,245979624597975+242080+0,1,
131,131,,,245979624597975+241969+0,245979624597975+242089+0,1,
131,131,,,245979624597964+241977+0,245979624597975+242090+0,1,
140,140,,,245979624597975+241784+0,245979624597975+242095+0,1,
140,140,,,245979624597975+241827+1,245979624597975+242096+0,1,
140,140,,,245979624597975+241838+0,245979624597975+242099+0,1,
140,140,,,245979624597975+241844+0,245979624597975+242100+0,1,
140,140,,,245979624597975+241851+0,245979624597975+242103+0,1,
140,140,,,245979624597975+241865+0,245979624597975+242106+0,1,
140,140,,,245979624597975+241880+1,245979624597975+242107+0,1,
140,140,,,245979624597975+241903+1,245979624597975+242110+0,1,
140,140,,,245979624597975+241940+1,245979624597975+242117+0,1,
140,140,,,245979624597975+241969+0,245979624597975+242122+0,1,
76,76,,,245979624597975+242650+1,245979624597975+242277+1,1,
74,74,,,245979624597975+242653+1,245979624597975+242278+1,1,
74,74,,,245979624597975+242346+1,245979624597975+242285+1,1,
76,76,,,245979624597975+242656+1,245979624597975+242285+1,1,
74,74,,,245979624597975+242663+1,245979624597975+242287+1,1,
74,74,,,245979624597975+243934+1,245979624597975+242287+1,1,
62,62,,,245979624597975+242428+1,245979624597975+242288+1,1,
62,62,,,245979624597975+242671+1,245979624597975+242288+1,1,
74,74,,,245979624597975+242677+1,245979624597975+242290+1,1,
68,68,,,245979624597975+242452+1,245979624597975+242292+1,1,
68,68,,,245979624597975+242475+1,245979624597975+242293+0,1,
76,76,,,245979624597975+242643+0,245979624597975+242329+0,1,
76,76,,,245979624597975+243116+0,245979624597975+242333+0,1,
76,76,,,245979624597975+243120+0,245979624597975+242334+0,1,
62,62,,,245979624597975+242330+1,245979624597975+242335+1,1,
20,20,,,245979624597975+242339+1,245979624597975+242341+1,1,
18,18,,,245979624597975+243335+1,245979624597975+242342+1,1,
94,94,,,245979624597975+242369+1,245979624597975+242346+1,1,
74,74,,,245979624597975+242507+1,245979624597975+242351+1,1,
74,74,,,245979624597975+242319+1,245979624597975+242356+1,1,
33,33,,,245979624597975+243506+0,245979624597975+242362+0,1,
94,94,,,245979624597975+242351+1,245979624597975+242371+0,1,
94,94,,,245979624597975+242356+1,245979624597975+242372+0,1,
76,76,,,245979624597975+242647+0,245979624597975+242384+1,1,
76,76,,,245979624597975+242656+1,245979624597975+242395+1,1,
74,74,,,245979724597975+242685+1,245979624597975+242452+1,1,
76,76,,,245979624597975+242779+1,245979624597975+242475+1,1,
76,76,,,245979624597975+242875+0,245979624597975+242492+0,1,
76,76,,,245979624597975+242879+0,245979624597975+242496+0,1,
76,76,,,245979624597975+242887+0,245979624597975+242503+0,1,
76,76,,,245979624597975+242892+0,245979624597975+242510+0,1,
76,76,,,245979624597975+243102+0,245979624597975+242542+0,1,
76,76,,,245979624597975+243105+0,245979624597975+242547+0,1,
76,76,,,245979624597975+243110+0,245979624597975+242551+0,1,
76,76,,,245979624597975+243133+0,245979624597975+242573+0,1,
76,76,,,245979624597975+243147+0,245979624597975+242588+0,1,
76,76,,,245979724597975+243160+0,245979624597975+242597+0,1,
76,76,,,245979624597975+243172+0,245979624597975+242603+0,1,
76,76,,,245979624597975+243177+0,245979624597975+242611+0,1,
76,76,,,245979624597975+243188+0,245979624597975+242617+0,1,
76,76,,,245979624597975+243209+0,245979624597975+242633+0,1,
76,76,,,245979724597975+243220+0,245979624597975+242637+0,1,
76,76,,,245979624597975+242381+0,245979624597975+242645+1,1,
76,76,,,245979624597975+242386+1,245979624597975+242649+1,1,
76,76,,,245979624597975+242391+1,245979624597975+242652+1,1,
76,76,,,245979624597975+242279+1,245979624597975+242655+1,1,
76,76,,,245979624597975+242282+1,245979624597975+242658+1,1,
76,76,,,245979624597975+242398+1,245979624597975+242661+1,1,
76,76,,,245979624597975+242409+1,245979624597975+242662+1,1,
76,76,,,245979624597975+242413+1,245979624597975+242665+0,1,
76,76,,,245979724597975+242435+0,245979624597975+242675+0,1,
76,76,,,245979724597975+242444+0,245979624597975+242679+0,1,
76,76,,,245979624597975+242458+0,245979624597975+242683+0,1,
76,76,,,245979624597975+242470+0,245979624597975+242751+0,1,
94,94,,,245979624597975+243965+1,245979624597975+242779+1,1,
76,76,,,245979624597975+242486+0,245979624597975+242858+0,1,
76,76,,,245979624597975+242486+0,245979624597975+242877+0,1,
94,94,,,245979624597975+243996+0,245979624597975+242879+0,1,
76,76,,,245979724597975+242499+0,245979624597975+242881+0,1,
76,76,,,245979724597975+242295+0,245979624597975+242886+0,1,
76,76,,,245979624597975+242298+0,245979624597975+242891+1,1,
94,94,,,245979624597975+243999+0,245979624597975+242892+0,1,
76,76,,,245979624597975+242507+1,245979624597975+242894+1,1,
74,74,,,245979624597975+242301+1,245979624597975+242913+1,1,
76,76,,,245979624597975+242301+1,245979624597975+242965+1,1,
94,94,,,245979624597975+244127+0,245979624597975+243110+0,1,
76,76,,,245979624597975+242319+1,245979624597975+243112+1,1,
74,74,,,245979624597975+242323+1,245979624597975+243114+1,1,
76,76,,,245979624597975+242323+1,245979624597975+243118+1,1,
74,74,,,245979624597975+242562+1,245979624597975+243126+1,1,
94,94,,,245979624597975+244185+0,245979624597975+243133+0,1,
76,76,,,245979624597975+242562+1,245979624597975+243140+1,1,
76,76,,,245979624597975+242335+1,245979624597975+243169+1,1,
76,76,,,245979624597975+242605+1,245979624597975+243174+1,1,
94,94,,,245979624597975+244188+0,245979624597975+243177+0,1,
76,76,,,245979624597975+242613+1,245979624597975+243179+0,1,
76,76,,,245979624597975+242615+0,245979624597975+243184+0,1,
76,76,,,245979624597975+242618+0,245979624597975+243192+0,1,
76,76,,,245979624597975+242622+0,245979624597975+243196+0,1,
94,94,,,245979624597975+244192+0,245979624597975+243201+0,1,
94,94,,,245979624597975+244198+0,245979624597975+243209+0,1,
76,76,,,245979624597974+242634+0,245979624597975+243216+0,1,
76,76,,,245979624597975+242638+0,245979624597975+243226+0,1,
94,94,,,245979624597975+244214+0,245979624597975+243228+0,1,
76,76,,,245979624597975+242640+0,245979624597975+243229+0,1,
33,33,,,245979624597975+243467+0,245979624597975+243241+1,1,
33,33,,,245979624597975+243471+1,245979624597975+243257+1,1,
33,33,,,245979624597975+243475+1,245979624597975+243260+1,1,
33,33,,,245979624597975+243475+1,245979624597975+243274+1,1,
33,33,,,245979624597975+243478+1,245979624597975+243288+1,1,
33,33,,,245979624597975+243480+1,245979624597975+243316+1,1,
33,33,,,245979624597975+243488+1,245979624597975+243328+1,1,
33,33,,,245979624597975+243492+1,245979624597975+243334+1,1,
33,33,,,245979624597975+243494+1,245979624597975+243334+1,1,
33,33,,,245979624597975+243497+1,245979624597975+243335+1,1,
33,33,,,245979624597975+243500+1,245979624597975+243343+1,1,
33,33,,,245979624597975+243503+1,245979624597975+243346+1,1,
33,33,,,245979624597975+243508+0,245979624597975+243353+0,1,
33,33,,,245979624597975+243512+0,245979624597975+243359+0,1,
33,33,,,245979624597975+243516+0,245979624597975+243373+0,1,
