route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
2,246018524601881,246018524601881+502101+1,Grand Central,622,1,,3,1,1
3,246019124601921,246019124601921+502126+0,Grand Central,6309,1,,5,0,0
3,246018424601906,246018424601906+502128+0,Stamford,6310,0,,16,1,0
3,246018424601847,246018424601847+502235+0,Stamford,6352,0,,16,1,0
2,246019924602024,246019924602024+502313+1,Southeast,649,0,,14,1,1
2,246021324602232,246021324602232+502313+1,Southeast,649,0,,14,1,1
2,246017924601803,246017924601803+502313+1,Southeast,649,0,,14,1,1
2,246020724602092,246020724602092+502313+1,Southeast,649,0,,14,1,1
2,246020624602061,246020624602061+502313+1,Southeast,649,0,,14,1,1
2,246019924602241,246019924602241+502342+1,Southeast,651,0,,14,1,1
3,246018424601847,246018424601847+502345+0,New Haven,6510,0,,16,1,0
3,246018424601847,246018424601847+502351+0,New Haven,6514,0,,16,1,0
3,246019124601921,246019124601921+502365+0,Grand Central,6519,1,,5,0,0
2,246020624602061,246020624602061+502716+0,Grand Central,696,1,,3,1,0
2,246020724602094,246020724602094+502716+0,Grand Central,696,1,,3,1,0
1,246019924602245,246019924602245+502749+1,Grand Central,702,1,,1,1,1
1,246018524601883,246018524601883+502749+1,Grand Central,702,1,,1,1,1
1,246017924601823,246017924601823+502749+1,Grand Central,702,1,,1,1,1
1,246019324601963,246019324601963+502749+1,Grand Central,702,1,,1,1,1
1,246018724601873,246018724601873+502780+1,Yankees-E 153 St,7113,0,,13,1,1
1,246019324601943,246019324601943+502781+1,Yankees-E 153 St,7115,0,,13,1,1
1,246020724602093,246020724602093+502781+1,Yankees-E 153 St,7115,0,,13,1,1
1,246019324601943,246019324601943+502785+0,Grand Central,7116,1,,2,1,0
1,246017924601802,246017924601802+502788+0,Grand Central,7118,1,,2,1,0
1,246017924601803,246017924601803+502788+0,Grand Central,7118,1,,2,1,0
1,246021224602127,246021224602127+502791+0,Yankees-E 153 St,7119,0,,13,1,0
1,246018524601881,246018524601881+502833+1,Grand Central,720,1,,1,1,1
1,246019924602234,246019924602234+502833+1,Grand Central,720,1,,1,1,1
1,246017924601823,246017924601823+502834+0,Croton-Harmon,721,0,,12,1,0
1,246019324601964,246019324601964+502835+0,Croton-Harmon,721,0,,12,1,0
1,246019324601962,246019324601962+502835+0,Croton-Harmon,721,0,,12,1,0
1,246018224601825,246018224601825+502856+1,Grand Central,736,1,,1,1,1
1,246019924602021,246019924602021+502882+1,Croton-Harmon,749,0,,12,1,1
1,246017924601822,246017924601822+502884+0,Grand Central,750,1,,1,1,0
1,246019924602245,246019924602245+502884+0,Grand Central,750,1,,1,1,0
1,246019924602243,246019924602243+502902+1,Croton-Harmon,755,0,,12,1,1
1,246019324601963,246019324601963+502903+1,Croton-Harmon,757,0,,12,1,1
1,246019924602241,246019924602241+502903+1,Croton-Harmon,757,0,,12,1,1
1,246019924602243,246019924602243+502903+1,Croton-Harmon,757,0,,12,1,1
1,246017924601823,246017924601823+502903+1,Croton-Harmon,757,0,,12,1,1
1,246018524601882,246018524601882+502903+1,Croton-Harmon,757,0,,12,1,1
1,246019924602234,246019924602234+502927+0,Grand Central,764,1,,1,1,0
1,246018524601884,246018524601884+502974+0,Grand Central,780,1,,1,1,0
1,246019924602021,246019924602021+502974+0,Grand Central,780,1,,1,1,0
1,246019924602022,246019924602022+502974+0,Grand Central,780,1,,1,1,0
1,246018524601881,246018524601881+502974+0,Grand Central,780,1,,1,1,0
1,246021324602234,246021324602234+502974+0,Grand Central,780,1,,1,1,0
1,246017924601802,246017924601802+502977+1,Croton-Harmon,781,0,,12,1,1
1,246019924602243,246019924602243+502994+0,Croton-Harmon,783,0,,12,1,0
1,246019324601953,246019324601953+502997+0,Grand Central,786,1,,1,1,0
1,246017924601814,246017924601814+502997+0,Grand Central,786,1,,1,1,0
1,246019924602242,246019924602242+503022+0,Grand Central,796,1,,1,1,0
1,246018524601883,246018524601883+503022+0,Grand Central,796,1,,1,1,0
1,246019324601963,246019324601963+503022+0,Grand Central,796,1,,1,1,0
